Release	Einstufung	Stelle	Beschluss	Titel
2003	A	BPjM		Americas 10s Most wanted
2003	18	USK		Call of Duty
2003	A	BPjM		Command&Conquer Generals
2003	18	USK		Curse - The Eye of Isis
2003	18	USK		Delta OPS Army Special Forces
2003	18	USK		Elite Forces 2 : Navy Seals 2
2003	18	USK		Evil Dead - A Fistful of Boomstick
2003	18	USK		Gladiator - Sword of Vengeance (engl. Vollversion)
2003	18	USK		Inquisition
2003	§131			Manhunt
2003	18	USK		Max Payne 2: The Fall of Max Payne
2003	18	USK		Medal of Honor Allied Assault Breakthrough
2003	18	USK		Medal of Honor Rising Sun
2003	A	BPjM		Postal 2
2003	A	BPjM		Postal 2 Share to pain
2003	18	USK		Pride FC
2003	18	USK		Resident Evil Outbreak
2003	A	BPjM		Return to Castle Wolfenstein - Operation Ressurction
2003	A	BPjM		Return to Castle Wolfenstein - Tides of War
2003	A	BPjM		Sniper - Path of Vengance
2003	18	USK		True Crime: Streets of L.A.
2003	18	USK		Warhammer 40.000 Fire Warrior (engl. Vers.)
2003	%	BPjM	2017	Wings of Fury
2004	18	USK		Bad Boys 2
2004	A	BPjM		Bloodrayne 2
2004	18	USK		Call of Duty United Offensive
2004	Dev	BPjM		Call of Duty: Finest Hour
2004	18	USK		Chronicles of Riddick - Escape From Butcher Bay
2004	18	USK		Codename: Panzers - Phase One
2004	18	USK		Counter Strike Condition Zero
2004	18	USK		Crisis Zone
2004	A	BPjM		Dead to Rights II
2004	18	USK		Def Jam - Fight for NY
2004	18	USK		Doom 3
2004	A	BPjM		Far Cry
2004	18	USK		Fight Club
2004	18	USK		Firestarter
2004	18	USK		Ghost Squad
2004	18	USK		Grand Theft Auto: San Andreas
2004	18	USK		Half - Life 2
2004	18	USK		Hidden and Dangerous 2 - Sabre Squadron
2004	18	USK		Hitman: Contracts
2004	18	USK		Killzone
2004	18	USK		Marine Heavy Gunner: Vietnam
2004	18	USK		Medal of Honor: Pacific Assault
2004	18	USK		Men of Valor
2004	18	USK		Michigan Report From Hell
2004	Dev	BPjM		Mortal Kombat: Deception
2004	Dev	BPjM		Mortyr 2
2004	18	USK		Ninja Gaiden (engl.Version)
2004	A	BPjM		Nitro Family
2004	A	BPjM		PSI - OPS : The Mindgate Conspiracy
2004	Dev	BPjM		Painkiller
2004	18	USK		Painkiller - Battle out of Hell
2004	%	BPjM	10/2018	Painkiller: Overdose
2004	18	USK		Psychotoxic
2004	A	BPjM		Shellshock Nam '67
2004	18	USK		Silent Hill 4 The Room
2004	A	BPjM		The Suffering
2004	18	USK		Unreal Tournament 2004
2004	Dev	BPjM		Vampire: The Masquerade - Bloodlines
2004	18	USK		World War Zero
2005	A	BPjM		10 000 Bullets
2005	18	USK		1944 - Winterschlacht in den Ardennen
2005	A	BPjM		50 Cent Bulletproof
2005	18	USK		Altered Beast
2005	A	BPjM		Area 51
2005	18	USK		Aurora Watching
2005	18	USK		B.O.S. - Blood of Sahara
2005	A	BPjM		Beat Down - Fists of Vengeance
2005	18	USK		Bet on Soldier
2005	18	USK		Brothers in Arms - Road to Hill 30
2005	18	USK		Brothers in Arms Earned in Blood
2005	18	USK		Call of Duty 2
2005	18	USK		Call of Duty 2: Big Red One
2005	Dev	BPjM		Chrome Specforce
2005	18	USK		Classified: The Sentinel Crisis
2005	18	USK		Close Combat: First to Fight
2005	A	BPjM		Cold Fear
2005	A	BPjM		Cold Winter
2005	§131			Condemned
2005	18	USK		Conspiracy: Weapons of Mass Destruction
2005	18	USK		Counter Strike 1 Anthology
2005	18	USK		Crime Life - Gang Wars
2005	18	USK		Darkwatch
2005	18	USK		Death by Degrees
2005	A	BPjM		Doom 3 - Resurrection of Evil
2005	A	BPjM		Evil Dead: Regeneration
2005	A	BPjM		F.E.A.R. / FEAR (lokalisierte Version)
2005	18	USK		Far Cry Instincts
2005	0			God of War
2005	18	USK		Grand Theft Auto: Liberty City Stories
2005	A	BPjM		Gun
2005	18	USK		Killer 7
2005	A	BPjM		Land of the dead - Road to Fiddlers Green
2005	18	USK		Medal of Honor European Assault
2005	18	USK		Mercenaries - Vollversion
2005	A	BPjM		Mortal Kombat Shaolin Monks
2005	%	BPjM	2016	Narc
2005	18	USK		Ninja Gaiden Black
2005	18	USK		Operation Matriarchy
2005	A	BPjM		Pariah
2005	18	USK		Perfect Dark Zero
2005	A	BPjM		Postal 2 Apocalypse Weekend
2005	A	BPjM		Predator Concrete Jungel
2005	A	BPjM		Quake 4
2005	18	USK		Raze´s Hell
2005	A	BPjM		Red Ninja - End of Honour
2005	18	USK		Resident Evil 4
2005	18	USK		Shadow of Rome
2005	18	USK		Silent Hunter 3
2005	Dev	BPjM		Sniper Elite
2005	18	USK		Spartan: Total Warrior
2005	0			Stubbs the Zombie
2005	%	BPjM	2016	The Punisher
2005	Dev	BPjM		The Stalin Subway
2005	A	BPjM		The Suffering 2 - Ties that Bind
2005	A	BPjM		The Warriors
2005	18	USK		Time Splitters Future Perfect
2005	A	BPjM		Total Overdose
2005	A	BPjM		True Crime New York City
2005	A	BPjM		Unreal Championship 2
2005	18	USK		Vietcong 2
2005	A	BPjM		Vivisector
2005	18	USK		Yakuza
2006	A	BPjM		25 to life
2006	A	BPjM		50 Cent: G Unit Edition
2006	A	BPjM		Auto Assault
2006	18	USK		BOS - Black out Saigon
2006	18	USK		Black
2006	18	USK		Brothers in Arms D-Day
2006	18	USK		Bullet Witch
2006	18	USK		Call Of Duty 3
2006	Dev	BPjM		Call of Juarez
2006	18	USK		Commandos Strike Force
2006	18	USK		Crusty Demons
2006	18	USK		Dark Messiah of Might and Magic
2006	§131			Dead Rising
2006	18	USK		Der Pate
2006	18	USK		Der weiße Hai
2006	A	BPjM		El Matador
2006	A	BPjM		F.E.A.R. XP / Fear: Extraction Point
2006	18	USK		Far Cry Instincts Evolution
2006	18	USK		Far Cry Vengeance
2006	18	USK		Final Fight Streetwise
2006	Dev	BPjM		Gangs of London
2006	18	USK		Gears of War
2006	18	USK		Grand Theft Auto: Vice City Stories
2006	Dev	BPjM		Half - Life 2: Episode 1
2006	A	BPjM		Half-Life 1 Source
2006	A	BPjM		Hell Forces
2006	18	USK		Hitman - Codename 47
2006	18	USK		Hitman 2: Silent Assassin
2006	18	USK		Hitman: Blood Money
2006	18	USK		Jaws
2006	18	USK		Kabus 22
2006	18	USK		Made Man
2006	18	USK		Mafia Contract Killer Antikiller
2006	18	USK		Medal of Honor Heroes
2006	18	USK		Miami Vice
2006	18	USK		Mortal Kombat Unchained
2006	18	USK		Operation Winback 2: Project Poseidon
2006	18	USK		Painkiller Hell Wars
2006	18	USK		Prey
2006	18	USK		Rainbow Six Vegas
2006	18	USK		Red Steel
2006	A	BPjM		Reservoir Dogs
2006	18	USK		Resistance - Fall of Man
2006	18	USK		Rule of Rose
2006	A	BPjM		SIN Episodes: Emergence
2006	A	BPjM		Saints Row
2006	§131			Scarface (deutsche Version)
2006	Dev	BPjM		Sin Episodes Emerge
2006	A	BPjM		State of Emergency 2
2006	Dev	BPjM		Syphon Filter Dark Mirror
2006	18	USK		Terrorist Takedown: Covert Operations
2006	A	BPjM		The Regiment
2006	A	BPjM		The Sopranos - Road to Respect
2006	0			Time Crisis 4
2006	18	USK		Torrente 3: The Protector
2006	18	USK		Urban Chaos: Riot Response
